Student_ID,Student_name,Year,CGPA,HACK_PART,PAP_PUB,Cod_Const,Total_Awards,TEA_ASST,CONST_SCORE,CORE_CRS_GRD,EAA,Overall_Score
301,Alex Johnson,2021,2.2,0,1,6,6,0,4.57,42.67,7,69.44
302,Emily Johnson,2020,8.09,0,3,6,3,0,4.62,57.41,2,84.12
303,David Jones,2020,1.2,0,1,6,1,1,7.79,51.15,8,77.14
304,Emily Jones,2020,7.76,3,1,4,0,1,9.47,36.11,4,66.34
305,John Brown,2020,3.76,1,1,6,3,1,0.94,86.34,6,109.04
306,David Williams,2020,4.74,3,2,5,1,1,7.16,81.36,2,107.26
307,David Miller,2020,8.94,2,4,1,6,1,8.92,21.82,8,61.68
308,Jane Garcia,2020,5.98,1,5,2,2,1,1.39,26.37,4,48.74
309,Jane Smith,2021,5.78,3,5,2,0,0,6.87,96.46,1,120.11
310,Jane Davis,2021,2.94,0,0,6,4,0,1.61,47.51,3,65.06
311,Laura Johnson,2021,5.3,2,1,1,7,1,8.28,82.54,10,118.12
312,Jane Garcia,2020,9.65,0,3,2,7,1,9.3,20.42,8,60.37
313,Sophia Garcia,2021,1.39,2,0,4,4,1,5.44,46.83,10,74.66
314,Michael Miller,2020,5.11,0,0,1,7,1,4.14,55.13,8,81.38
315,Chris Miller,2021,2.78,3,3,2,7,1,2.65,71.91,3,96.34
316,Sarah Jones,2021,9.43,0,2,4,6,1,8.39,35.06,4,69.88
317,John Johnson,2020,8.78,3,0,6,2,1,6.52,37.23,8,72.53
318,John Miller,2021,2.62,3,0,6,6,0,7.66,31.3,9,65.58
319,Michael Brown,2021,4.25,2,1,5,1,0,7.8,43.36,3,67.41
320,David Miller,2021,4.46,2,3,4,6,1,6.75,65.99,5,98.2
321,Jane Miller,2021,7.12,1,4,5,6,0,2.21,32.78,5,63.11
322,Michael Davis,2021,5.86,3,4,3,2,1,5.96,86.45,7,118.27
323,Jane Johnson,2020,3.11,1,1,3,6,0,4.37,84.21,9,111.69
324,Sophia Jones,2020,1.08,1,4,6,1,1,1.35,71.78,9,96.21
325,Sarah Brown,2021,3.89,0,3,2,2,0,4.33,83.37,6,104.59
326,Emily Garcia,2020,9.07,2,4,1,7,0,9.65,25.96,5,63.68
327,Emily Garcia,2021,4.21,2,4,2,0,0,9.3,31.56,10,63.07
328,Sarah Brown,2020,6.47,1,4,6,6,1,9.48,93.91,9,136.86
329,Sarah Johnson,2020,6.7,2,4,6,3,0,3.07,63.85,1,89.62
330,Chris Miller,2020,8.7,3,2,6,0,1,4.73,41.14,1,67.57
331,David Smith,2021,9.38,1,4,2,7,1,7.21,58.88,9,99.47
332,David Rodriguez,2021,2.04,3,1,2,7,1,8.09,30.65,3,57.78
333,Alex Brown,2021,7.78,0,2,4,3,1,5.42,62.27,7,92.47
334,Laura Rodriguez,2021,3.34,1,0,4,0,0,8.02,84.62,5,105.98
335,John Davis,2020,9.48,0,3,4,7,1,7.39,84.28,9,125.15
336,David Rodriguez,2020,8.94,0,4,5,4,0,3.25,32.56,6,63.75
337,Alex Jones,2021,7.46,3,2,1,0,1,2.42,41.62,1,59.5
338,Sophia Smith,2021,9.13,1,5,3,2,1,5.23,54.29,1,81.65
339,Sarah Smith,2020,8.56,3,0,1,7,0,2.64,51.17,3,76.37
340,Laura Rodriguez,2020,8.17,2,0,1,7,1,5.22,91.17,10,125.56
341,Chris Brown,2021,7.87,3,3,4,5,0,4.14,51.59,3,81.6
342,Sarah Jones,2021,6.56,2,4,3,2,1,1.37,67.73,8,95.66
343,Michael Johnson,2020,2.79,2,2,2,2,0,9.69,94.27,7,121.75
344,Alex Garcia,2021,4.85,2,4,5,2,0,2.54,97.29,1,118.68
345,Sophia Brown,2021,6.38,3,0,5,4,0,9.88,42.01,2,72.27
346,Michael Jones,2020,6.1,1,1,2,1,1,7.41,41.73,5,66.24
347,David Williams,2020,3.6,1,5,3,4,0,4.19,73.57,5,99.36
348,Laura Brown,2020,7.52,1,2,6,1,0,1.53,73.5,1,93.55
